No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std,Sample Count,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,elev,slope,hand,t_clay,t_sand,t_silt,t_bd,s_clay,s_sand,s_silt,s_bd,ts,sy,sdf,pop_dens,irri_int,gw_abs,Aquifer,Top Soil,Sub Soil,Poor20,Poor10
1283,Multiannual,450673,84385,TRUE,-1.7204483,0.33090466,0.63154286,0.606983657,1.0515444,1.5561244,11.76527856,0.539303308,51,2.318400876,1.450044714,284.2345835,6.406078896,0.007002057,4.184766015,100881.3354,322.3797764,119.7931858,48.01959229,4.367772579,17.5,5,90,5,1.710000038,8,87,5,1.629999995,300,0.03,61.54241329,196.2433767,251,0,Lower Greensand,sand,loamy sand,#N/A,#N/A
1287,Annual,535485,383995,FALSE,-317.74332,-0.2363503,0.66584355,0.639900328,1.8264784,1.8566453,11.79967348,0.547936704,58,1.909583785,1.449662251,283.4241764,6.437349428,0.006615252,4.05492563,100937.419,320.8302399,119.4017201,41.1374321,3.029834032,11.39999962,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,8.016995428,185.9168101,751,0,Chalk,loam,clay loam,#N/A,#N/A
1288,Annual,459155,116855,TRUE,-651.6181,-4.060363,0.9358451,0.934752409,0.83275026,6.0572095,50.43977937,0.337100834,60,2.447754659,1.505698659,283.9862379,6.406078896,0.006883119,4.198103617,100458.8938,321.9170814,124.0356887,95.25094604,1.945623159,17.80000305,19,37,44,1.409999967,0,0,0,0,550,0.015,43.26127366,166.2842116,101,0,Chalk,loam,,#N/A,#N/A
1297,Multiannual,584646,165511,TRUE,-29.18564,-0.20942795,0.16522422,0.056643077,0.4663007,0.30643684,11.50806925,1.13673649,1826,1.630996715,1.467150952,284.3413684,7.604655088,0.006965681,3.668293438,101096.889,322.7417185,120.9758948,20.91371155,0.892462194,3.900000572,22,41,37,1.399999976,29,37,34,1.350000024,90,0.001,26.13188154,908.7868396,251,0,Chalk,loam,clay loam,2,0
1305,Multiannual,631670,143580,TRUE,-4467.338,-9.558204,0.22133239,0.209031451,0.9167811,11.529228,86.6781277,0.109499334,48,2.530668129,1.493128418,283.9377678,6.701862052,0.007022198,4.638026816,100080.7995,320.886475,127.0772802,113.3543777,6.96902132,72.8999939,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,39.53760932,651.6284393,1001,0,Chalk,sandy clay loam,clay loam,1,1
1316,Multiannual,467605,138425,TRUE,-6035.4775,-2.1371024,0.46148458,0.470737511,0.71369433,4.0772586,87.72500019,0.323638959,51,2.498357066,1.431196834,283.3212277,8.427272862,0.006656841,4.205014341,99242.29843,319.1242066,118.1215037,203.2140198,0.598684549,33.19999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,34.88576776,270.5367473,501,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
1319,Multiannual,501005,342705,TRUE,-46.25764,0.04180807,0.6016839,0.838192588,0.3147378,0.46158475,7.125443053,0.715279108,56,1.744961668,1.44691948,283.4983112,8.170701117,0.006587105,3.744101973,100836.1177,321.6099672,117.9596635,25.95133591,0.453415215,0.099998474,22,42,36,1.399999976,0,0,0,0,130,0.0005,3.800509939,94.38131244,751,0,Oolites,loam,,#N/A,#N/A
1328,Annual,423855,132955,TRUE,-143.08553,0.3519469,0.87780976,0.858944584,0.44406152,0.69020224,79.68959097,3.694173305,58,2.230558597,1.437490572,283.6951092,8.146276078,0.00678956,4.307337063,99935.95579,321.5766908,117.3143516,148.647522,2.809558868,23.6000061,19,37,44,1.409999967,0,0,0,0,550,0.015,15.5432162,74.76979946,1,0,Chalk,loam,,#N/A,#N/A
1336,Multiannual,624293,151559,TRUE,-120.08161,0.21071726,0.45960507,0.39727245,0.48763987,0.7384134,34.58270599,1.616050148,56,2.122343922,1.487065651,284.1268794,6.701862052,0.007022541,4.621803018,100485.7319,321.6398566,122.4568189,64.09395599,4.271600246,5.599998474,10,82,8,1.590000033,17,75,8,1.5,550,0.015,37.23337844,187.7881529,1001,0,Lower Greensand,loamy sand,sandy loam,#N/A,#N/A
1341,Annual,397025,210385,TRUE,-67.13266,-3.0163198,0.33742824,0.353289615,1.5512615,4.922755,6.724490162,0.545250338,61,2.586801751,1.484328668,282.7817332,7.50607898,0.00648662,5.195121099,98385.06281,318.9102481,119.7348766,243.6651459,2.992846012,23.5,22,42,36,1.399999976,0,0,0,0,184,0.02,1.678697565,33.37152019,51,0,Oolites,loam,,#N/A,#N/A
1343,Annual,503235,374265,FALSE,-36.198074,-0.15147698,0.46182433,0.453092124,0.3304088,0.23324487,9.642291206,1.070738482,59,1.87447974,1.456145362,283.5658146,7.04030681,0.006616438,3.815899048,101151.4736,321.9640027,118.8017916,21.40161324,0.873354197,9.400000572,19,37,44,1.409999967,31,31,38,1.330000043,0.1,0.06,1.437522924,392.8630863,751,0,Oolites,loam,clay loam,#N/A,#N/A
1345,Annual,430885,133395,TRUE,-148.35179,-9.509169,0.68858963,0.735210075,11.487152,1.605414,0.196356353,0.169275077,47,2.227601314,1.477095431,284.1719191,8.146276078,0.006926489,3.530401978,100901.2953,323.7050627,123.7866546,38.81912231,1.61992836,0,19,37,44,1.409999967,0,0,0,0,550,0.015,22.51909733,45.24184227,1,11145.44238,Chalk,loam,,#N/A,#N/A
1346,Annual,458945,127395,TRUE,-291.65207,-9.677674,0.81495774,0.76967012,11.65678,1.6417704,0.734855127,0.458574192,44,2.468674702,1.419251677,283.9374278,8.427272862,0.006854007,3.455233726,100447.0489,321.9589514,120.1733385,73.6625824,4.116621017,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,42.61778968,85.32159528,1,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
1355,Annual,444882,169724,TRUE,-294.2332,-3.3005404,-0.16951329,-0.238522325,4.9972553,2.0718625,1.20585421,0.283418923,1799,1.893483021,1.470126025,283.847753,8.427272862,0.006787736,3.521754678,100443.8588,322.6035254,122.7023114,85.04135895,4.692727089,0,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,29.70397619,427.0597198,51,0,Chalk,sandy clay loam,clay loam,1,1
1361,Annual,441855,143655,TRUE,-579.7514,-0.2829721,0.7853159,0.882694622,1.9049672,1.8837255,11.21467505,0.421715544,60,2.021358159,1.474530386,284.0825743,8.427272862,0.00688399,3.508529473,100803.961,323.2901883,123.5258458,63.66067505,0.945257425,12.70000076,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,36.06548122,192.8249192,1,19.00874901,Chalk,loam,clay loam,#N/A,#N/A
1364,Annual,489362,181621,TRUE,-0.8773215,0.54660237,0.57259285,0.644557882,0.86124325,1.0603275,2.323953009,0.32786956,1665,1.639978096,1.466844101,284.2374389,8.154764635,0.006868499,3.476664664,101234.7095,323.8321836,120.0094471,23.58108902,0.162770733,0.800001144,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,15.98063531,1243.198947,251,0,Chalk,loam,clay loam,#N/A,#N/A
1377,Annual,397812,209071,TRUE,-362.38327,-5.1602907,-0.10945568,0.038226932,0.62684774,7.0480814,16.79161081,0.355208188,61,2.464238776,1.469729264,282.8757479,7.50607898,0.006513683,4.435855198,98566.54768,319.3296787,121.6512503,219.9648895,3.632209301,51.80000305,22,42,36,1.399999976,0,0,0,0,184,0.02,2.86389235,33.8351016,51,0,Oolites,loam,,1,0
1384,Annual,500050,174076,FALSE,-6.822507,0.28994393,0.36025,0.447863524,1.2835965,0.87970066,2.061384628,0.226147632,52,1.621686749,1.467400517,284.3043645,8.449890581,0.006894551,3.467859627,101376.2398,323.8632812,120.3159972,16.94869232,0.473169565,2.800001144,22,41,37,1.399999976,29,37,34,1.350000024,100,0.005,17.33083025,1196.936635,251,0,Chalk,loam,clay loam,#N/A,#N/A
1386,Decadal,547246,173338,TRUE,-1796.0786,-0.79911053,0.4439305,0.412320198,2.4139338,1.9635365,4.60670438,0.153784395,50,1.600383347,1.455939155,284.2654206,8.545290384,0.006893579,3.541493023,101153.2139,322.8776972,119.3709887,24.30730438,2.700993538,0,10,82,8,1.590000033,17,75,8,1.5,100,0.005,6.761473924,3503.327754,1,67.25927734,Chalk,loamy sand,sandy loam,#N/A,#N/A
1388,Annual,591599,341350,FALSE,-80.86904,0.4949746,0.76433104,0.760103956,0.7765332,1.3867487,36.82640666,0.914015167,1517,1.824479731,1.526651085,283.5693855,7.787020949,0.006681616,5.195529604,100918.4185,320.42876,120.1761505,47.50023651,0.688787043,17.40000153,8,76,16,1.610000014,8,76,16,1.116897106,550,0.015,60.27688877,40.03362612,5001,0,Chalk,sandy loam,sandy loam,#N/A,#N/A
1393,Annual,545455,381985,FALSE,-11.897438,-0.22158384,0.003591944,-0.024313154,0.82569885,1.6848822,6.135425214,0.355078531,57,1.765826944,1.502680764,283.5615616,6.437349428,0.006665913,4.888855286,101205.7425,321.3323901,119.5689709,6.993144512,0.350915432,0.099999905,19,37,44,1.409999967,31,31,38,1.330000043,550,0.015,9.090558859,79.38593981,751,0,Chalk,loam,clay loam,0,0
1420,Annual,406000,137004,TRUE,-2211.4126,-8.723646,0.72048235,0.765448286,9.708359,5.316936,1.493775857,0.277920099,1759,2.126396493,1.483177179,283.8894164,8.146276078,0.006856763,3.617101897,100339.365,322.9044497,125.6715817,66.22968292,4.088888645,6.900001526,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,5.440940073,51.01023031,51,0,Chalk,loam,clay loam,#N/A,#N/A
1437,Multiannual,341957,356451,TRUE,-1.379982,0.35469627,0.63272166,0.618984052,0.96026826,0.47090283,16.49589872,0.494859931,51,1.729791892,1.40308878,283.6600631,6.877820409,0.006696642,3.755785749,101041.5716,324.4784058,115.4967803,25.7278595,3.919634581,16,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,1.108528517,83.78111193,1,0,Triassic Sandstone,loam,clay loam,#N/A,#N/A
1440,Annual,396629,102247,TRUE,0.48908442,0.59401697,0.9031431,0.864435048,0.92261297,0.61340964,23.81127882,3.740866694,1803,2.406736032,1.532075987,284.1866172,7.90585989,0.006981642,4.36898228,100762.6183,323.6938256,126.1813935,50.6910553,1.629632354,12.79999924,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,15.40605869,150.7062285,101,0,Lower Greensand,loam,loam,#N/A,#N/A
1443,Annual,551861,103777,TRUE,-534.7906,-2.631685,0.7953783,0.813197976,1.5984,4.576203,28.57808355,0.749121404,58,2.294742616,1.506324368,284.2133006,6.103997887,0.007079603,4.159960357,100795.458,321.9698312,128.276424,31.72394562,11.9659481,19.59999847,19,37,44,1.409999967,0,0,0,0,550,0.015,7.321992327,246.8699212,1,0,Chalk,loam,,#N/A,#N/A
1452,Annual,418290,136086,TRUE,0.542985,0.54886144,0.9399224,0.947013266,0.9570305,1.445057,1.565837453,0.230362034,54,2.191894854,1.485369783,284.0229469,8.146276078,0.00688715,3.570627257,100609.2804,323.2827235,125.075903,61.99250412,1.708024144,4.799999237,19,37,44,1.409999967,0,0,0,0,550,0.015,11.66632879,141.3178244,51,0,Chalk,loam,,#N/A,#N/A
1458,Multiannual,472475,183405,TRUE,-5.59172,0.26821822,0.33047754,0.245215447,0.9529958,1.2916082,61.51928129,1.323007524,57,1.894085435,1.533566762,283.7404122,8.154764635,0.006727853,4.243603833,100250.9754,321.8168501,123.4501529,104.9206848,3.021537542,29.69999695,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,3.607720418,258.7297093,251,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
1461,Annual,587342,278990,TRUE,-66.19624,0.27155006,0.6970985,0.808430759,1.2447767,1.6156114,21.4259125,0.646352168,46,1.714293539,1.509715356,283.9979954,8.134556528,0.006741229,4.128603714,101339.2914,321.8409107,119.2497667,36.37960815,2.490457535,26.60000229,8,76,16,1.610000014,8,76,16,1.150323987,550,0.015,63.39277536,207.6141273,5001,282.1756287,Chalk,sandy loam,sandy loam,#N/A,#N/A
1465,Annual,548195,155345,TRUE,-17.353056,-0.78388035,0.52985984,0.579869379,1.2291814,2.705503,2.171011775,0.138528809,1823,2.113964943,1.43626209,283.9312743,8.545290384,0.006833629,3.502545777,100402.0838,321.1067441,120.8176875,84.11367035,1.761345148,0.699996948,10,75,15,1.580000043,15,68,17,1.50999999,270,0.0006,9.430721288,279.5529186,1,17611.11133,Lower Greensand,sandy loam,sandy loam,#N/A,#N/A
1466,Annual,553475,373645,FALSE,-4.828163,0.34006482,0.55496895,0.557133944,1.3604852,1.3278966,1.568019195,0.265320628,58,1.783844475,1.514802847,283.6236078,6.437349428,0.006685255,4.932020018,101248.1503,321.4722765,120.0466768,1.940605402,0.485084295,0.399999976,49,19,32,1.24000001,47,21,32,1.24000001,550,0.015,12.50435416,105.0168448,751,0,Chalk,clay,clay,#N/A,#N/A
1470,Decadal,508045,413785,FALSE,-86.6343,0.19435227,0.71530175,0.725153691,0.2874914,0.7543452,17.84662733,1.362154725,52,1.918784224,1.475845766,283.2445352,6.699781022,0.006548695,4.668534313,100632.1306,320.4009045,118.5616257,31.70797348,1.176731825,0,19,37,44,1.409999967,0,0,0,0,550,0.015,10.28462951,69.24746904,1001,0,Chalk,loam,,#N/A,#N/A
1491,Annual,629110,140204,TRUE,-15.23288,0.41367447,0.87919265,0.879481105,0.5988838,0.58976966,40.84597592,4.10600388,1744,2.452245347,1.56740195,283.9457164,6.701862052,0.007031803,5.357138362,100099.1274,320.9521434,130.5983468,63.71123505,4.14731741,5.099998474,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,35.93698372,766.5015969,1001,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
1501,Annual,505012,466985,TRUE,-0.15350103,0.64053816,0.872785,0.805242625,0.9156157,1.3254362,28.52215623,2.855646991,59,2.092935369,1.474497442,282.7461666,6.475027417,0.006436251,4.742489583,99949.22923,317.9373928,123.4618734,56.59757996,3.192923784,2.200000763,19,37,44,1.409999967,0,0,0,0,550,0.015,6.863826436,35.30463929,51,0,Chalk,loam,,#N/A,#N/A
1536,Annual,507345,305125,FALSE,-71.13466,0.36713403,0.8598745,0.857781897,1.5912511,0.82306474,8.866930476,0.618391016,57,1.688663744,1.461440902,283.7933474,7.961938764,0.006667288,3.70450101,101126.3681,322.685949,117.6341048,40.23517609,6.61888504,19.20000076,22,42,36,1.399999976,0,0,0,0,130,0.0005,0.364350137,187.2662861,101,89935.02344,Oolites,loam,,#N/A,#N/A
1559,Annual,449255,128455,TRUE,0.36432552,0.31117886,0.8066715,0.825190735,1.0760922,0.34325954,2.428662992,0.690434159,61,2.346495081,1.436137816,284.2172814,8.427272862,0.006937404,3.475700059,101019.3153,323.4645952,120.5751965,37.68784332,0.709595144,0,19,37,44,1.409999967,0,0,0,0,550,0.015,40.54547477,569.7507667,1,0,Chalk,loam,,#N/A,#N/A
1563,Annual,549501,100648,TRUE,-401.56824,-5.5938926,0.30389673,0.367854782,1.1198153,7.5559783,45.39945294,0.291144366,58,2.037897037,1.470111083,284.2310347,6.103997887,0.007091747,4.151607167,100831.0769,322.0222289,125.5889905,46.54876328,9.980051041,16.40000153,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,11.19494565,561.2206574,1,0,Chalk,loam,loam,#N/A,#N/A
1565,Annual,412060,117120,TRUE,-56.572353,-2.0098746,0.86484224,0.875917438,3.9338977,1.6582997,0.79571781,0.310061605,53,2.393154431,1.484198443,284.1840513,7.617962865,0.006957113,3.576666442,100827.3794,323.7557515,125.1570627,39.99062347,1.54231143,0,51,17,32,1.220000029,52,19,29,1.230000019,550,0.015,12.73805174,77.76431989,51,0,Chalk,clay,clay,#N/A,#N/A
1570,Annual,502455,109865,TRUE,-32.89961,-2.2454875,0.6107618,0.551270043,0.93691653,4.221459,20.62634691,0.289255677,58,2.364129243,1.440056602,284.3755242,6.336254195,0.007031188,3.382600119,101221.097,323.0182881,122.8353267,21.70669174,3.241278172,20.29999924,47,14,39,1.230000019,45,15,40,1.24000001,550,0.015,14.0439964,103.8025122,1001,0,Chalk,clay,clay,#N/A,#N/A
1608,Annual,443955,152555,TRUE,-8.099735,0.68393934,0.89936143,0.892985306,1.227787,0.8053742,40.12054382,3.063424967,62,2.128203726,1.452619278,283.6591705,8.427272862,0.006749147,3.510927794,99985.0093,321.4238321,122.970451,123.2192535,8.589391708,5.700004578,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,38.57992007,85.67096466,1,199.7364655,Chalk,silt loam,loam,#N/A,#N/A
1609,Annual,498295,341675,TRUE,-7715.967,-3.1871204,0.6183719,0.592144918,0.1936,5.0909934,26.96994419,0.247906674,55,1.762650605,1.489719359,283.2759668,8.170701117,0.006523837,4.489371421,100375.6933,320.5892513,118.1666407,88.3250351,1.883364201,2.400001526,22,42,36,1.399999976,0,0,0,0,130,0.0005,1.89818681,49.89268305,751,0,Oolites,loam,,#N/A,#N/A
1633,Annual,431755,135155,TRUE,-57.805706,0.6188985,0.9215637,0.893174944,0.642912,0.8924169,33.89406238,1.580336256,59,2.128587074,1.45159856,284.0100438,8.146276078,0.006876052,3.529196651,100580.9221,322.9627438,122.2558267,76.06423187,0.712786376,11.89999771,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,23.7391649,47.34218074,1,0,Chalk,loam,clay loam,#N/A,#N/A
1638,Annual,635152,155598,FALSE,-1.0921917,0.51617795,0.6684578,0.668535672,0.7359828,1.2333678,0.973659331,0.232742866,53,1.781544358,1.530137804,284.5093505,6.701862052,0.007145965,4.728671886,101247.6273,323.4175325,124.381471,0.914414048,2.304973364,0,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,48.37588578,548.7289604,1001,0,Lower Greensand,loam,clay loam,#N/A,#N/A
1640,Annual,515985,406085,FALSE,-46.70209,0.051264465,0.4990409,0.591067089,1.7045047,0.6090881,38.13888631,3.921794271,58,1.873493974,1.46742791,283.2079368,6.699781022,0.00654484,4.710947379,100500.465,320.1222404,117.7764724,62.30216217,2.16786623,20.59999847,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,4.640447989,59.36310269,1001,0,Chalk,loam,loam,#N/A,#N/A
1648,Annual,493325,420065,FALSE,-0.2911073,0.20960212,0.7122792,0.720195936,1.240019,0.3040572,6.974872194,2.106156453,58,1.8415115,1.479482541,283.333777,7.297097527,0.006559449,4.58948178,101094.6437,321.0041808,118.9917885,24.36832047,1.797225356,12.89999962,22,42,36,1.399999976,0,0,0,0,130,0.0005,4.659290389,136.1320185,1001,0,Oolites,loam,,#N/A,#N/A
1669,Annual,496135,403075,FALSE,-24.376226,0.33022624,0.7536063,0.754447651,0.6215103,1.494609,3.503369411,0.268465771,58,1.866867468,1.488942075,283.3767021,7.297097527,0.006568365,4.581315447,101027.8334,321.1894642,119.0575905,26.03285217,1.582030296,3.199998856,22,42,36,1.399999976,0,0,0,0,130,0.0005,5.274913122,89.38209795,1001,0,Oolites,loam,,#N/A,#N/A
1690,Annual,458525,132895,TRUE,-77.09876,-0.13215125,0.69686025,0.759047859,1.4951825,1.9719509,3.197584766,0.181676672,55,2.2898138,1.418848535,283.9938669,8.427272862,0.006864325,3.459979984,100578.7684,322.335957,119.4353576,67.40322113,3.742405415,3.100002289,19,37,44,1.409999967,0,0,0,0,550,0.015,43.26567455,87.47982643,1,90.63555908,Chalk,loam,,#N/A,#N/A
1719,Annual,535185,379535,FALSE,-519.9006,-0.58017707,0.4718827,0.448696041,2.219578,1.8548005,21.8647021,1.171385919,60,1.996276009,1.508189273,283.2407982,6.437349428,0.00655937,4.796708693,100516.1053,319.9478316,121.4633747,72.59986877,6.448134422,11.60000229,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,3.552481927,22.51102936,751,220.9683838,Chalk,loam,loam,#N/A,#N/A
1722,Annual,497225,398725,FALSE,-42.95875,0.40222007,0.61197066,0.634961945,0.5938205,0.79557043,6.432804739,0.397078754,55,1.837458927,1.443150352,283.4741053,7.722836944,0.00659465,3.823568805,101251.3415,321.6378672,118.79076,15.42171383,0.716881156,2.600000381,22,39,39,1.389999986,28,37,35,1.350000024,130,0.0005,2.238398647,67.52358219,1001,1720.647095,Oolites,loam,clay loam,#N/A,#N/A
1726,Annual,504315,345355,TRUE,-0.20538855,0.09925616,0.6451503,0.532781306,1.2019883,0.19711661,4.057757427,1.263388785,60,1.722289158,1.464180146,283.6783568,7.961938764,0.006639721,3.767594291,101243.4363,322.4029292,118.7531511,19.18209076,1.769720435,4.600000381,54,22,24,1.230000019,44,34,22,1.279999971,130,0.0005,6.934636665,288.2825871,751,0,Oolites,clay,clay,#N/A,#N/A
1744,Annual,502495,373225,FALSE,-356.7734,-0.004726529,0.8164479,0.803873365,0.17409451,0.45809272,17.70252392,0.773467333,54,1.907119389,1.507462751,283.5314608,7.04030681,0.00660576,4.564178812,101071.6133,321.8159144,119.0147422,25.37289429,0.305419207,5,22,39,39,1.389999986,28,37,35,1.350000024,184,0.02,0.613468056,570.8215199,751,0,Oolites,loam,clay loam,#N/A,#N/A
1755,Annual,506425,354925,TRUE,-2.3414695,-0.107293725,0.79237235,0.829776116,0.45192793,0.060528263,7.176696073,2.521309915,41,1.687897042,1.515263658,283.6241007,7.04030681,0.006627826,4.549889838,101087.6937,322.1420353,118.694041,25.66035461,1.87886703,6.099998474,49,19,32,1.24000001,51,18,31,1.230000019,0.1,0.06,10.56315477,79.50830491,751,0,Oolites,clay,clay,#N/A,#N/A
1767,Annual,495005,414325,FALSE,0.009007394,0.30239505,0.47866604,0.518558401,0.95597327,0.5385625,7.894322165,0.746924988,58,1.836746985,1.437189088,283.3638468,7.297097527,0.006566746,3.831050033,101101.5429,321.1436408,119.0162232,14.91863251,0.766047359,12.10000038,22,39,39,1.389999986,28,37,35,1.350000024,130,0.0005,1.254223187,151.2916726,1001,0,Oolites,loam,clay loam,#N/A,#N/A
1768,Annual,555675,367865,FALSE,-16.03117,-0.5156989,0.07287953,0.06824193,2.1962936,0.9182955,1.471374326,0.449683217,59,1.772946332,1.517217526,283.6556598,6.437349428,0.006690392,4.930369506,101254.3058,321.5615797,119.7435174,1.991882801,0.558163404,0.899999976,47,14,39,1.230000019,45,15,40,1.24000001,550,0.015,15.95448497,381.899042,751,0,Chalk,clay,clay,0,0
1777,Annual,417605,195685,TRUE,0.32459593,0.29395545,0.7069647,0.764079731,1.1299703,0.37092423,0.955861592,0.497811172,61,1.778915664,1.445963154,283.8775091,7.806790904,0.006796464,3.609394862,100529.6286,323.6014534,119.4120647,73.83651733,0.182182804,1.599998474,51,17,32,1.220000029,52,19,29,1.230000019,0.1,0.06,4.880389444,162.0983382,251,0,Oolites,clay,clay,#N/A,#N/A
1783,Annual,418226,121962,TRUE,-15.729673,-0.6912445,0.60139513,0.625995832,1.1863501,2.6330075,9.128858595,0.491823859,53,2.305969336,1.419485343,284.1593856,8.146276078,0.006940618,3.55794527,100831.9337,323.6233757,119.3818695,45.25753784,0.837823927,5.799999237,22,42,36,1.399999976,25,41,34,1.379999995,550,0.015,12.07723298,106.0939813,51,0,Chalk,loam,loam,#N/A,#N/A
1790,Annual,540406,245699,TRUE,-780.9423,-5.816878,0.6289449,0.652196459,5.9929256,5.626368,0.777212661,0.141100866,49,1.417853228,1.483443777,284.0780396,8.084611253,0.006757014,3.699817919,101236.1241,322.8468567,118.5719448,20.38333511,0.943191409,1.900001526,10,82,8,1.590000033,17,75,8,1.5,550,0.015,48.04681483,149.7262845,5001,0,Chalk,loamy sand,sandy loam,#N/A,#N/A
1804,Annual,505485,373565,FALSE,0.25253767,0.17640698,0.85105586,0.845759826,1.0930853,0.19535343,2.518920473,1.14667649,58,1.814950712,1.503888711,283.5997043,7.04030681,0.006627002,4.580608188,101212.4784,322.0905841,118.3241465,9.599437714,0.441551566,0,19,37,44,1.409999967,31,31,38,1.330000043,0.1,0.06,3.503309378,134.2769779,751,0,Oolites,loam,clay loam,#N/A,#N/A
1814,Annual,346005,445005,TRUE,-7.183955,-0.08260226,0.8856672,0.860304435,1.4533867,1.9764277,1.580257512,0.275186112,1825,2.998411834,1.424510072,283.3767733,6.350821513,0.006544621,4.307058759,101224.4056,323.2189405,113.9721402,7.397148609,6.042413235,3.500000477,19,37,44,1.409999967,31,31,38,1.330000043,33,0.01,4.602332277,165.7888936,1,0,Triassic Sandstone,loam,clay loam,#N/A,#N/A
1822,Multiannual,498905,408765,FALSE,-0.90832233,-0.46541965,0.5261735,0.55674549,2.171265,0.25764477,0.513772293,0.57037939,58,1.779463311,1.435821625,283.461664,7.297097527,0.006596051,3.845803362,101249.7399,321.5572559,118.3021451,1.877617121,0.497081369,0.899999976,32,35,33,0.230985165,25,52,23,0.237838149,0.1,0.06,0.456683735,97.73974749,1001,0,Oolites,clay loam,sandy clay loam,#N/A,#N/A
1827,Annual,570359,129219,FALSE,-975.3493,-1.4105182,0.81410205,0.852334223,3.3991826,1.1413003,8.915647663,0.684719144,60,2.24780942,1.486735161,284.0393495,8.545290384,0.006970383,3.505539001,100528.1896,321.3026917,128.6491258,90.58781433,2.211167574,57.49999619,51,17,32,1.220000029,52,19,29,1.230000019,50,0.00014,1.949917663,109.1490641,501,0,Corallian Limestone,clay,clay,#N/A,#N/A
1831,Multiannual,518824,245735,FALSE,-552.8338,-1.4651117,0.8274166,0.846079346,3.3460135,1.7370458,1.551469263,0.154821945,44,1.45569551,1.474017493,284.0406205,8.083954113,0.006749029,3.619992147,101161.9352,323.1260385,118.3167271,26.36874199,0.512015283,3.400001526,22,41,37,1.399999976,29,37,34,1.350000024,270,0.0006,31.5252088,466.1033375,251,99.05208588,Lower Greensand,loam,clay loam,#N/A,#N/A
1832,Multiannual,470084,184289,TRUE,-604.841,-3.5952172,-0.17357847,-0.148844142,0.6236235,5.4268627,76.95067844,1.209388819,59,2.001204821,1.524848953,283.5520225,8.154764635,0.006673431,4.247597588,99878.25301,320.9945246,123.5164794,140.0015259,1.280273199,13.6000061,11,35,54,1.49000001,20,37,43,1.399999976,550,0.015,5.245207607,134.5972932,251,0,Chalk,silt loam,loam,1,0
1841,Annual,608471,320417,TRUE,-9.492158,-7.2031155,0.5243775,0.670201558,9.181672,0.6437468,0.083772564,0.219471115,56,1.880668124,1.54548363,283.791421,7.324315532,0.006736504,4.54008472,101129.7244,320.9804441,123.7519982,17.36073685,1.826531529,3.100000381,22,41,37,1.399999976,29,37,34,1.350000024,550,0.015,80.3206895,60.26367284,1001,0,Chalk,loam,clay loam,#N/A,#N/A
1846,Annual,436720,169680,TRUE,-13.677868,0.44936,0.89163244,0.852827174,1.3296841,1.4275169,10.42310053,0.912367072,58,1.86467689,1.461312441,283.6387501,8.427272862,0.006731848,3.541325023,100023.7039,321.7542514,122.8733392,105.4027557,5.0989604,4,24,48,28,1.399999976,34,41,25,1.330000043,550,0.015,36.44723537,92.0422958,51,0,Chalk,sandy clay loam,clay loam,#N/A,#N/A
1853,Annual,424055,188965,TRUE,-3856.611,-6.4686275,0.70435363,0.709797354,6.408957,6.141643,2.478875725,0.216724592,59,1.734392113,1.449459336,283.7217817,7.806790904,0.006750157,3.588828741,100181.3795,322.682171,120.499642,98.55497742,2.517423868,11.79999542,51,17,32,1.220000029,52,19,29,1.230000019,0.1,0.02,13.86926816,118.5264337,51,0,Corallian Limestone,clay,clay,#N/A,#N/A
1869,Annual,516838,171678,FALSE,-1483.6621,-1.1815302,-0.20696709,-0.216830728,2.4888618,2.0419304,5.055942158,0.195760077,654,1.645673602,1.472075707,284.3886717,8.550876397,0.00692345,3.474823017,101503.6745,323.9266738,120.5902821,8.820140839,0.649184644,0.399999619,22,41,37,1.399999976,29,37,34,1.350000024,100,0.005,6.4696843,4102.804651,251,1.90979147,Lower Greensand,loam,clay loam,0,0
