No,Wavelet transform,period,label,easting,northing,lat,long,Aquifer,Top Soil,Sub Soil,P,PET,TAS,DTR,HUSS,WIND,PSURF,RLDS,RSDS,train,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std,test,record_start,record_end,record_span,max_gap,day_amount,month_amount,season_amount,year_amount,day_dst,month_dst,season_dst,mean,std
1562,Multiannual,7.1,Chalfont St Peter,500079,191108,51.609914,-0.556121,Chalk,sandy loam,sandy loam,1.974866583,1.465524473,283.1388649,8.020335061,0.006510887,4.42252889,100529.2461,319.9233005,117.1884835,,1991,2014,24,0.128767123,515,279,93,24,21.45833333,11.625,3.875,3.93518381,1.446701612,,2015,2019,5,0.326027397,74,46,20,5,14.8,9.2,4,4.678102729,0.766327796
1584,Annual,1,Northington Down Farm,455355,137395,51.133159,-1.210249,Chalk,loam,,2.252341174,1.408518614,283.0285911,8.220511404,0.00653912,4.297346123,100118.6822,319.0344381,116.5705102,,2001,2014,14,0.315068493,156,153,52,14,11.14285714,10.92857143,3.714285714,41.52814659,0.824331207,,2015,2019,5,0.123287671,60,60,20,5,12,12,4,41.83944147,0.74139613
1591,Annual,1,Vinney Ridge,426035,105775,50.850909,-1.631527,Chalk,sand,sand,2.45642953,1.42084649,283.5894135,7.384454044,0.006736116,3.51626167,101046.3592,321.2926696,122.3545706,,2002,2014,13,0.230136986,145,142,52,13,11.15384615,10.92307692,4,1.282721578,0.24779557,,2015,2019,5,0.536986301,44,43,18,5,8.8,8.6,3.6,1.326299948,0.278799355
1597,Annual,1,Uppark Deerkeepers,477825,116540,50.943054,-0.89364,Chalk,loam,loam,2.742507772,1.44727719,283.1319728,6.021393112,0.006593166,4.202794091,100226.4923,318.7502767,122.1481503,,1976,2014,39,2.112328767,363,343,140,38,9.552631579,9.026315789,3.684210526,35.82932146,0.576783518,,2015,2019,5,0.194520548,56,56,20,5,11.2,11.2,4,35.99167191,0.27422037
1600,Multiannual,7.1,Conyer Farm,596989,163608,51.33742,0.826676,Chalk,loam,clay loam,1.655654554,1.414768482,283.6419901,7.311773177,0.006757211,3.912281755,101250.6113,321.0633724,117.9290963,,1983,2014,32,1.931506849,332,303,116,31,10.70967742,9.774193548,3.741935484,0.706212209,0.16095586,,2015,2019,5,0.134246575,60,60,20,5,12,12,4,0.602308595,0.120698315
1602,Annual,1,Wykeham 1,496929,483556,54.238522,-0.514255,Corallian Limestone,sandy loam,sandy clay loam,1.936298666,1.364221449,282.3010947,7.16409579,0.006235615,4.140005645,100490.1603,317.8589273,115.4490461,,1995,2014,20,1.145205479,5061,208,72,20,253.05,10.4,3.6,17.02813559,1.167296994,,2015,2019,5,0.032876712,1810,60,20,5,362,12,4,17.17272108,1.176111292
1605,Annual,1,Eastridge Farm,429938,172448,51.450226,-1.57056,Chalk,sandy clay loam,clay loam,2.122233049,1.372965481,282.792467,7.947018429,0.006454031,3.690796532,99722.167,318.9999875,117.2437308,,1973,2014,42,1.090410959,474,457,161,42,11.28571429,10.88095238,3.833333333,64.00697667,0.992341612,,2015,2019,5,0.260273973,56,56,20,5,11.2,11.2,4,64.27713791,0.77763402
1614,Multiannual,7.1,Highlands Farm,552369,169622,51.405157,0.189244,Lower Greensand,sand,sand,1.752058099,1.383243973,283.3429979,8.253918987,0.006611994,3.712115746,100800.9282,319.9123586,115.3721784,,1971,2014,44,1.690410959,467,457,168,43,10.86046512,10.62790698,3.906976744,30.64883043,0.711797028,,2015,2019,5,0.189041096,60,59,20,5,12,11.8,4,30.44253171,0.685809558
1630,Annual,1,Harwood Avenue Branston,422455,321655,52.791991,-1.668443,Triassic Sandstone,sandy loam,sandy loam,1.803234488,1.395174648,282.9883101,7.555826268,0.006415496,3.854235785,100803.0324,321.8076867,112.8005468,,1994,2014,21,1.090410959,225,214,77,21,10.71428571,10.19047619,3.666666667,2.135733078,0.218267368,,2015,2019,5,0.169863014,59,52,20,5,11.8,10.4,4,2.12274852,0.228178277
1641,Decadal,14.2,Donkeywell,412762,203418,51.729329,-1.816613,Oolites,clay,clay,2.038721053,1.442661055,282.8921791,7.673734289,0.006472578,4.548239703,99986.18144,320.2126485,117.0705605,,1973,2014,42,0.210958904,6475,481,165,42,154.1666667,11.45238095,3.928571429,16.33216619,1.394695879,,2015,2019,5,0,1826,60,20,5,365.2,12,4,17.42347608,1.274753043
1647,Annual,1,Wash Common,445410,164780,51.380257,-1.348902,Chalk,loam,clay loam,2.129736876,1.392212132,282.9523101,8.220511404,0.006496761,3.63524232,100062.2206,319.3761006,118.3619844,,1984,2014,31,0.42739726,4103,352,123,31,132.3548387,11.35483871,3.967741935,49.09492165,1.524332849,,2015,2019,5,0.309589041,1713,57,20,5,342.6,11.4,4,49.79927862,1.504063816
1650,Annual,1,Totterdown,414445,171495,51.442261,-1.793548,Chalk,loam,loam,2.314511113,1.43675925,282.3829213,7.947018429,0.00634901,4.487168812,98885.33577,317.2538108,120.6922062,,1980,2014,35,0.876712329,349,333,127,35,9.971428571,9.514285714,3.628571429,79.30368555,3.776938733,,2015,2019,5,0.150684932,60,60,20,5,12,12,4,80.0190824,3.59600511
1653,Annual,1,Winslade Farm,465665,148295,51.23007,-1.060931,Chalk,loam,loam,2.293735206,1.400730611,282.9209916,8.220511404,0.006496056,4.314680614,99945.08468,318.6220885,115.4352441,,1971,2014,44,0.569863014,493,480,173,44,11.20454545,10.90909091,3.931818182,35.39883644,1.880284715,,2015,2019,5,0.161643836,59,59,20,5,11.8,11.8,4,35.54841494,1.570486579
1654,Multiannual,3.6,Hatton Heath,346163,361198,53.145181,-2.806349,Triassic Sandstone,sandy loam,sandy clay loam,1.902733303,1.420905529,283.0027769,6.868870948,0.006447293,4.691467964,100931.8663,322.6044953,112.3454874,,1998,2014,17,1.750684932,5099,171,59,16,318.6875,10.6875,3.6875,3.163280717,0.440867035,,2015,2019,5,0.120547945,1782,59,20,5,356.4,11.8,4,3.489012344,0.12144684
1655,Annual,1,Woldingham,535222,156951,51.295633,-0.06193,Chalk,silt loam,loam,2.233686016,1.302161745,282.8069893,8.270820006,0.006469767,3.624742556,99749.71009,317.3757476,110.9510938,,1999,2014,16,0.347945205,4587,186,64,16,286.6875,11.625,4,24.8080231,10.58601594,,2015,2019,5,0.010958904,1822,60,20,5,364.4,12,4,26.66505242,8.199464076
1656,Annual,1,Shoreham Mill Hill,521616,107233,50.851836,-0.273684,Chalk,loam,loam,2.238832428,1.441140452,283.3886748,5.977641657,0.006714389,4.202902247,100744.5832,319.4250846,122.8770796,,1977,2014,38,0.347945205,3503,412,151,38,92.18421053,10.84210526,3.973684211,32.12369589,1.58513213,,2015,2019,5,0.301369863,1688,58,20,5,337.6,11.6,4,32.31587836,1.251123396
1659,Annual,1,Clarendon 5,416320,129765,51.066985,-1.768461,Chalk,loam,loam,2.194978885,1.404418902,283.3882343,7.947018429,0.006663396,3.622544807,100740.7217,321.0989196,120.2708702,,1979,2014,36,0.517808219,420,393,140,36,11.66666667,10.91666667,3.888888889,8.256050995,0.541709444,,2015,2019,5,0.197260274,52,50,20,5,10.4,10,4,8.195274438,0.428495847
1661,Multiannual,7.1,St Marys Church Shrawley,380635,264765,52.280676,-2.285265,Triassic Sandstone,sandy loam,sandy loam,1.861979673,1.42815749,283.1509824,7.636595673,0.006531348,3.927587023,100718.1542,322.5047346,117.3902212,,1974,2014,41,0.405479452,624,459,160,41,15.2195122,11.19512195,3.902439024,17.05791036,1.050793879,,2015,2019,5,1.375342466,42,37,15,4,10.5,9.25,3.75,17.21916036,0.775812682
1662,Annual,1,Ivy Farm,430805,276665,52.387144,-1.548793,Unallocated to aquifers,sandy loam,sandy clay loam,1.881140656,1.400990135,282.8906423,7.986667603,0.006411148,3.833287667,100356.0839,320.8849391,114.6016241,,1972,2014,43,1.375342466,623,479,166,42,14.83333333,11.4047619,3.952380952,12.38876447,1.037457389,,2015,2019,5,0.657534247,51,47,18,5,10.2,9.4,3.6,12.86221788,0.82647945
1663,Multiannual,7.1,Warlaby Nook,435299,490365,54.307657,-1.458992,Triassic Sandstone,sandy loam,sandy loam,1.727059258,1.354636378,282.4552597,7.343361654,0.006196477,3.806629831,100799.3292,319.3133633,111.6516935,,1971,2014,44,0.838356164,490,483,173,44,11.13636364,10.97727273,3.931818182,13.83619474,0.342209388,,2015,2019,5,0.336986301,54,51,18,5,10.8,10.2,3.6,13.82135876,0.281011303
1664,Annual,1,Irstead gravel,637732,320410,52.729029,1.519457,Crag,loam,clay loam,1.754953825,1.484165144,283.1468032,6.523908308,0.006583023,5.449591247,101350.2106,319.4958365,119.2001381,,1998,2014,17,0.682191781,186,182,65,17,10.94117647,10.70588235,3.823529412,0.347000867,0.244568852,,2015,2019,5,0.191780822,57,57,20,5,11.4,11.4,4,0.103008224,0.248536003
1676,Annual,1,Fenside,636748,321307,52.737509,1.50556,Crag,clay loam,sandy clay loam,1.762156014,1.484032895,283.1457519,6.523908308,0.006582195,5.446094457,101358.32,319.509707,119.2049301,,1996,2014,19,0.767123288,194,191,71,19,10.21052632,10.05263158,3.736842105,0.488569083,0.112093576,,2015,2019,5,0.161643836,57,57,20,5,11.4,11.4,4,0.573132295,0.12680461
1682,Annual,1,Westfield Farm,495485,451916,53.954521,-0.546377,Chalk,loam,clay loam,1.933045616,1.403315869,282.4729172,7.308882087,0.006270657,4.859120518,100830.1871,318.7312947,113.6958173,,1973,2014,42,1.243835616,451,423,154,42,10.73809524,10.07142857,3.666666667,26.15055493,2.435119142,,2015,2019,5,0.312328767,52,52,20,5,10.4,10.4,4,25.95307753,2.664219859
1684,Multiannual,7.1,Kellys Café,439488,465767,54.086294,-1.397836,Triassic Sandstone,loam,clay loam,1.789730382,1.403007372,282.5748653,7.343361654,0.006238379,4.591616525,100867.4649,319.8988866,110.7030323,,1977,2014,38,0.630136986,435,432,150,38,11.44736842,11.36842105,3.947368421,5.502686042,0.493060138,,2015,2019,5,0.37260274,50,46,19,5,10,9.2,3.8,5.63678949,0.38362612
1688,Multiannual,3.6,Bunces Farm,593620,163880,51.341019,0.778518,Chalk,loam,clay loam,1.662545825,1.406934016,283.6459235,7.311773177,0.006753956,3.893477303,101260.4155,321.0842912,117.1188413,,1987,2014,28,0.687671233,326,289,109,28,11.64285714,10.32142857,3.892857143,0.208277909,0.223028279,,2015,2019,5,0.235616438,58,58,20,5,11.6,11.6,4,0.114334605,0.15798307
1689,Annual,1.9,Marsh Farm,506716,225249,51.915548,-0.449837,Chalk,clay,clay,1.793698081,1.402965624,282.7838315,7.768495066,0.00638325,3.760209466,99977.76542,318.6204466,116.0579502,,1989,2014,26,0.301369863,293,290,101,26,11.26923077,11.15384615,3.884615385,5.152671953,0.972604198,,2015,2019,5,0.342465753,43,41,20,5,8.6,8.2,4,5.668382723,0.63586805
1696,Annual,1,Fringford,460435,228545,51.952115,-1.122029,Oolites,loam,,1.833212675,1.445836795,282.9038028,7.708993464,0.006427868,4.505872318,100225.229,319.9635696,115.0495913,,1980,2014,35,0.657534247,4993,354,129,35,142.6571429,10.11428571,3.685714286,14.98998977,1.158330168,,2015,2019,5,0.010958904,1822,60,20,5,364.4,12,4,15.10570448,1.168323201
1700,Multiannual,7.1,Stumblewood A,540123,130835,51.05976,-0.001855,Corallian Limestone,sandy loam,sandy loam,2.393396443,1.35088463,283.0056422,8.253918987,0.006578279,4.320843794,100033.7302,317.921162,113.570924,,1994,2014,21,0.268493151,238,229,84,21,11.33333333,10.9047619,4,3.412620292,0.711328174,,2015,2019,5,0.147945205,60,60,20,5,12,12,4,3.530282757,0.524498146
1701,Multiannual,7.1,Stumblewood B,540122,130853,51.059922,-0.001862,Corallian Limestone,sandy loam,sandy loam,2.393396443,1.35088463,283.0056422,8.253918987,0.006578279,4.320843794,100033.7302,317.921162,113.570924,,1994,2014,21,0.268493151,239,230,84,21,11.38095238,10.95238095,4,5.277820072,0.778930067,,2015,2019,5,0.147945205,60,60,20,5,12,12,4,5.311668747,0.623884315
1703,Annual,1,Down Cottages,473005,149645,51.241317,-0.955552,Chalk,loam,clay loam,2.084068865,1.355894821,283.0858901,8.204714845,0.006540883,3.554833085,100301.1348,319.3221254,115.4481262,,1971,2014,44,0.254794521,564,503,176,44,12.81818182,11.43181818,4,22.51789065,1.202617578,,2015,2019,5,0.246575342,54,54,20,5,10.8,10.8,4,22.75811721,0.932509428
1707,Multiannual,7.1,Clockhouse Farm,565833,233458,51.97484,0.412956,Chalk,clay,clay,1.635254535,1.431600265,283.1011632,7.991563422,0.006476706,3.940870545,100636.1762,319.2948891,116.6022313,,1979,2013,35,1.391780822,715,356,127,35,20.42857143,10.17142857,3.628571429,8.824714507,2.833234287,,2015,2019,5,0.189041096,51,51,18,5,10.2,10.2,3.6,9.050197298,1.379713653
1715,Annual,1,White Lane Oakley,455455,152955,51.27305,-1.20642,Chalk,loam,clay loam,2.224288829,1.463260819,282.8822403,8.220511404,0.006482628,4.343297352,99881.39442,318.6838273,121.3927843,,1971,2014,44,1.416438356,459,443,163,44,10.43181818,10.06818182,3.704545455,30.95217978,2.529472845,,2015,2019,5,0.169863014,61,59,20,5,12.2,11.8,4,31.56314588,2.053707079
1717,Annual,1,The Laurels,375635,260005,52.237683,-2.358208,Triassic Sandstone,loam,clay loam,1.968963756,1.459225652,283.0001782,7.636595673,0.006497058,4.698683887,100381.7592,321.7865588,117.0739676,,1980,2014,35,0.405479452,448,382,138,35,12.8,10.91428571,3.942857143,13.16614306,0.478855541,,2015,2019,5,0.312328767,52,46,20,5,10.4,9.2,4,13.24905858,0.410900116
1718,Annual,1,Topcliffe Cranes,438304,479298,54.207985,-1.414222,Triassic Sandstone,sandy loam,sandy loam,1.715764071,1.356901654,282.5317591,7.343361654,0.006222128,3.825216033,100880.846,319.6709888,111.3778877,,1992,2014,23,0.493150685,261,241,89,23,11.34782609,10.47826087,3.869565217,1.667348635,0.428801494,,2015,2019,5,0.230136986,58,55,20,5,11.6,11,4,1.811448252,0.391509928
1720,Annual,1,Damgate Lane Acle,640904,309543,52.630126,1.558395,Crag,clay,clay,1.686147848,1.499414885,283.1984836,6.523908308,0.006588953,5.423954625,101333.6952,319.599167,119.7043886,,1998,2014,17,0.684931507,187,184,66,17,11,10.82352941,3.882352941,0.330675944,0.252264791,,2015,2019,5,0.191780822,55,55,20,5,11,11,4,0.382451345,0.249972296
1727,Multiannual,7.1,Plantation House,606321,156838,51.27332,0.956551,Lower Greensand,sandy clay loam,clay loam,1.972253932,1.401994604,283.1543578,7.311773177,0.006651932,4.722756305,100247.3945,318.7679547,116.0768246,,1982,2014,33,0.676712329,378,349,127,33,11.45454545,10.57575758,3.848484848,44.6893856,1.672564796,,2015,2019,5,0.167123288,59,59,20,5,11.8,11.8,4,45.15216024,1.864214089
1731,Annual,1,Little Wood,597150,285332,52.430398,0.898493,Chalk,sand,loamy sand,1.726284281,1.445975643,283.2510717,7.966193337,0.006528014,4.27009919,101349.142,320.0630839,116.381096,,1999,2014,16,0.435616438,1483,172,61,16,92.6875,10.75,3.8125,2.38232731,0.618133367,,2015,2019,5,0.090410959,1793,60,20,5,358.6,12,4,2.378852336,0.608542994
1737,Multiannual,7.1,Chapel Wood,445945,175525,51.476821,-1.339826,Chalk,sandy clay loam,clay loam,1.957998049,1.407953939,282.9084527,8.220511404,0.006475534,3.661687131,100021.1382,319.3743081,119.2835165,,1973,2014,42,1.049315068,5719,428,152,42,136.1666667,10.19047619,3.619047619,6.470842513,3.163119645,,2015,2019,5,0.117808219,1776,60,20,5,355.2,12,4,7.510392809,2.319204798
1741,Annual,1,Bryants Heath 3,625875,329165,52.812675,1.350218,Crag,loam,clay loam,1.79280709,1.481019959,282.9732513,7.174165862,0.006524584,5.395138267,101062.5768,318.8761379,119.8576394,,1996,2014,19,0.863013699,200,197,71,19,10.52631579,10.36842105,3.736842105,1.27132479,0.281667108,,2015,2019,5,0.202739726,56,56,20,5,11.2,11.2,4,1.344803361,0.283290557
1745,Annual,1,Knaves Acre,556213,118826,50.947706,0.222406,Corallian Limestone,clay,clay,2.367543737,1.429096523,283.3409206,5.778736839,0.006725077,4.350016992,100641.4384,319.3323489,121.335005,,1978,2014,37,0.284931507,393,386,148,37,10.62162162,10.43243243,4,13.04104127,1.036939007,,2015,2019,5,0.147945205,60,60,20,5,12,12,4,12.97511125,1.287269062
1753,Annual,1,Parsonage Farm Bramdean,463255,128155,51.049266,-1.098973,Chalk,loam,loam,2.524887464,1.413913203,283.0441987,8.220511404,0.006551937,4.256818966,100126.3696,318.7940423,118.1351785,,1971,2014,44,1.435616438,600,458,163,44,13.63636364,10.40909091,3.704545455,25.558995,2.858953231,,2015,2019,5,0.112328767,60,60,20,5,12,12,4,25.56796167,2.465274472
1778,Decadal,14.2,Branton Green,444510,462273,54.054485,-1.321583,Triassic Sandstone,loam,clay loam,1.766346464,1.407108797,282.5934325,7.343361654,0.006247417,4.611579607,100893.8253,319.9309116,111.0992505,,1977,2014,38,1.350684932,444,418,143,37,12,11.2972973,3.864864865,4.288985219,0.403879849,,2015,2019,5,0.57260274,51,46,18,5,10.2,9.2,3.6,3.872272182,0.196801412
1780,Annual,1,Gameslack,491819,459686,54.024997,-0.599884,Chalk,loam,,2.045607685,1.357270087,282.236077,7.16409579,0.006203395,4.087160941,100160.1536,317.6606279,113.7565796,,1980,2014,35,0.260273973,6682,408,139,35,190.9142857,11.65714286,3.971428571,39.96413173,4.30695388,,2015,2019,5,0.4,1508,53,20,5,301.6,10.6,4,40.49713483,4.681636843
1782,Annual,1,Crawley,443505,135305,51.115387,-1.379846,Chalk,loam,,2.226339968,1.435607063,283.1187896,8.220511404,0.006569643,4.316038469,100285.7454,319.5836848,119.2044166,,1994,2014,21,0.260273973,244,242,83,21,11.61904762,11.52380952,3.952380952,53.53447586,4.133331279,,2015,2019,5,0.161643836,58,58,20,5,11.6,11.6,4,54.80296371,2.936379169
1788,Annual,1,Dean Hill,424905,125805,51.031071,-1.646215,Chalk,loam,,2.424553344,1.472846316,282.9881152,7.947018429,0.006548155,4.339120111,99926.36373,319.001255,124.2639023,,1994,2014,21,0.257534247,235,233,83,21,11.19047619,11.0952381,3.952380952,101.7052888,1.982911462,,2015,2019,5,0.126027397,60,60,20,5,12,12,4,102.0377072,1.476975476
1789,Multiannual,7.1,Kiln Barn Well,571354,156528,51.282116,0.455641,Lower Greensand,loam,loam,1.830451527,1.375052949,283.4139713,8.253918987,0.006674877,3.756758269,100902.0317,320.0015649,115.842377,,1990,2014,25,1.569863014,230,230,90,25,9.2,9.2,3.6,1.23787913,0.344010455,,2015,2019,5,0.175342466,57,57,20,5,11.4,11.4,4,1.335425278,0.188249129
1791,Annual,1,Lancing College,519850,105990,50.841032,-0.299166,Chalk,clay,clay,2.177762307,1.46952788,283.6044929,5.977641657,0.006776107,4.195600678,101179.4368,320.4291899,123.9165164,,1977,2014,38,0.482191781,3426,418,151,38,90.15789474,11,3.973684211,10.02848105,0.364443611,,2015,2019,5,0.328767123,1243,48,20,5,248.6,9.6,4,9.983308142,0.266863604
1795,Multiannual,7.1,Clowes Wood,377465,338825,52.946322,-2.336804,Unallocated to aquifers,sand,sand,2.173191331,1.390637715,282.5142429,7.724265635,0.006303739,4.650085381,99851.68433,320.0680475,110.8531297,,1991,2014,24,0.668493151,269,264,91,24,11.20833333,11,3.791666667,8.631407109,0.543109168,,2015,2019,5,0.126027397,59,48,20,5,11.8,9.6,4,8.686657566,0.309723028
1797,Multiannual,7.1,Weir Brook,335005,324295,52.812254,-2.965719,Triassic Sandstone,loamy sand,sandy clay loam,1.977794791,1.370500969,282.843116,7.456531633,0.006446695,4.035971579,100338.0969,321.6637515,113.8573066,,1975,2014,40,1.663013699,412,403,147,40,10.3,10.075,3.675,1.187817271,0.238900245,,2015,2019,5,0.323287671,53,47,19,5,10.6,9.4,3.8,1.290837055,0.142921508
1805,Annual,1,Minety Road,404186,192900,51.634888,-1.940907,Oolites,loam,loam,2.041342984,1.399546061,283.1035547,7.673734289,0.00654631,3.801057734,100351.0278,321.1360182,117.1316043,,2004,2014,11,0.342465753,112,107,41,11,10.18181818,9.727272727,3.727272727,0.845317866,0.375032949,,2015,2019,5,0.246575342,53,52,19,5,10.6,10.4,3.8,0.828212071,0.427423836
1809,Annual,1,Blakeley,365225,324185,52.814068,-2.517383,Permian Sandstone,sand,sand,1.844373288,1.426996952,282.9059161,7.456531633,0.006432221,4.69110633,100523.9506,321.9019949,113.2573878,,1972,2014,43,0.583561644,596,477,166,43,13.86046512,11.09302326,3.860465116,1.945760425,0.30191189,,2015,2019,5,0.123287671,60,53,20,5,12,10.6,4,1.912547897,0.295894642
1810,Annual,1,Kirkburn,498238,455196,53.983476,-0.503383,Chalk,loam,clay loam,1.868109887,1.379862874,282.5380319,6.690779161,0.006293745,4.126119928,100771.7217,318.996109,114.6645652,,1983,2014,32,1.243835616,364,345,120,32,11.375,10.78125,3.75,1.023479469,0.647834661,,2015,2019,5,0.153424658,59,59,20,5,11.8,11.8,4,1.050450972,0.558545943
1812,Multiannual,7.1,Briff Lane,454645,169905,51.425522,-1.215433,Chalk,loam,loam,1.972499883,1.409774154,283.0212571,8.220511404,0.006508229,4.386913076,100226.1393,319.6649108,114.3125173,,1974,2014,41,0.610958904,1534,470,162,41,37.41463415,11.46341463,3.951219512,33.63014197,0.786968539,,2015,2019,5,0.42739726,51,49,19,5,10.2,9.8,3.8,35.14998462,0.420808343
1816,Annual,1,Whitefriars,405026,195364,51.657035,-1.928735,Oolites,loam,loam,2.075822543,1.401768869,283.1052395,7.673734289,0.006544718,3.80549296,100369.1186,321.1913858,117.1921421,,2004,2014,11,0.169863014,120,116,41,11,10.90909091,10.54545455,3.727272727,0.224345903,0.125710619,,2015,2019,5,0.331506849,55,54,20,5,11,10.8,4,0.173353479,0.107139208
1820,Annual,1,Danes Hill,467365,386475,53.370841,-0.98898,Triassic Sandstone,sandy loam,sandy clay loam,1.632066452,1.444515103,282.9491702,7.688458873,0.006372175,4.685112745,101304.8135,321.3111792,112.4013564,,1971,2014,44,0.271232877,1042,517,176,44,23.68181818,11.75,4,3.810514853,0.248037998,,2015,2019,5,0.150684932,60,58,20,5,12,11.6,4,4.05221063,0.180479223
1821,Annual,1,Lopcombe Corner,425007,135427,51.117586,-1.644098,Chalk,loam,,2.210316022,1.460389622,283.0174099,7.947018429,0.006548693,4.36825691,100021.0835,319.3759317,122.0674961,,1971,2014,44,1.038356164,4709,481,164,44,107.0227273,10.93181818,3.727272727,44.2165989,3.790069369,,2015,2019,5,0.095890411,1761,59,20,5,352.2,11.8,4,45.04003117,2.872586488
1855,Annual,1,Sawston Road,550746,249846,52.126362,0.200711,Chalk,sandy loam,sandy loam,1.497159958,1.431653142,283.31741,7.940990308,0.006521559,3.930614795,101177.6406,320.7101938,114.9996846,,1999,2014,16,0.515068493,171,169,62,16,10.6875,10.5625,3.875,11.72623652,0.809754339,,2015,2019,5,0.602739726,46,46,19,5,9.2,9.2,3.8,12.08172724,0.628349061
1857,Annual,1,Overy Cottages,599915,288303,52.456068,0.940883,Chalk,loamy sand,sandy clay loam,1.70831593,1.455323498,283.1911972,7.966193337,0.006514381,4.293077267,101253.5221,319.7840057,117.7420089,,1999,2014,16,0.668493151,175,174,61,16,10.9375,10.875,3.8125,3.503960799,0.495978657,,2015,2019,5,0.616438356,46,46,19,5,9.2,9.2,3.8,3.491615457,0.41865163
1861,Annual,1,Halland Godfrey Cottage,551254,116146,50.924945,0.150755,Corallian Limestone,loam,clay loam,2.206886628,1.392378745,283.43496,5.778736839,0.006749207,4.32327437,100827.0743,319.7463082,117.4304011,,1971,2014,44,1.682191781,432,416,166,43,10.04651163,9.674418605,3.860465116,3.529717466,1.546052376,,2015,2019,5,0.147945205,60,60,20,5,12,12,4,3.07942117,2.07518449
1867,Annual,1,Kirkby in Ashfield,449015,356045,53.099352,-1.269416,Carboniferous Limestone,loam,loam,2.014594644,1.415869531,282.1080717,7.109643148,0.006151201,4.629804141,99345.97348,317.5096365,114.1134934,,1973,2014,42,0.246575342,806,480,167,42,19.19047619,11.42857143,3.976190476,9.257044941,0.709504956,,2015,2019,5,0.169863014,59,59,20,5,11.8,11.8,4,9.450999393,0.634188323
1871,Annual,1,Walderton Pitlands Farm,479680,112375,50.905356,-0.868151,Chalk,loam,clay loam,2.492022833,1.471086002,283.2648605,6.021393112,0.006637158,4.188058113,100487.6613,319.2574037,124.2203447,,1976,2014,39,0.55890411,3144,372,146,39,80.61538462,9.538461538,3.743589744,23.04095885,7.245165586,,2015,2019,5,0,1826,60,20,5,365.2,12,4,24.36467403,6.842617386
1873,Annual,1,Oddo House,421825,360715,53.143128,-1.675166,Carboniferous Limestone,sandy clay loam,clay loam,2.806793816,1.330870342,281.4205217,6.465172406,0.005968608,4.603471564,97886.01927,314.6221782,108.7852546,,1971,2014,44,1.139726027,919,490,167,44,20.88636364,11.13636364,3.795454545,25.52409535,1.174144337,,2015,2019,5,0.279452055,56,56,20,5,11.2,11.2,4,25.73882293,1.291691414
1878,Annual,1,Ashley Village,438255,131155,51.078445,-1.455284,Chalk,loam,loam,2.287317275,1.355444255,283.3451891,8.220511404,0.006639292,3.561100999,100726.233,320.6297039,115.5516925,,1971,2014,44,1.17260274,482,453,166,44,10.95454545,10.29545455,3.772727273,31.0345105,2.271532582,,2015,2019,5,0.183561644,58,58,20,5,11.6,11.6,4,31.77655872,1.975378627
1880,Annual,1,Old Hat,439900,165520,51.387323,-1.427986,Chalk,loam,loam,2.259789317,1.386430562,282.9813062,8.220511404,0.00650705,3.65049101,100121.9358,319.618527,117.6256642,,1984,2014,31,0.575342466,5358,342,121,31,172.8387097,11.03225806,3.903225806,13.53217882,3.931444152,,2015,2019,5,0.320547945,1395,51,20,5,279,10.2,4,15.12138173,2.925676921
1882,Annual,1,Druce,374483,95227,50.756071,-2.363102,Corallian Limestone,loam,,2.758387861,1.442055855,283.401663,7.594616927,0.006719439,3.703027394,100545.7319,320.891082,125.6515673,,1991,2014,24,0.230136986,284,274,96,24,11.83333333,11.41666667,4,0.441038672,0.219553694,,2015,2019,5,0.131506849,55,53,20,5,11,10.6,4,0.450272026,0.195414372
1885,Multiannual,7.1,Bishops Wood,383645,268355,52.313049,-2.241321,Triassic Sandstone,loam,loam,1.849561463,1.424441208,282.8903761,7.636595673,0.006452981,4.674031268,100218.062,321.2895094,113.6799732,,1974,2014,41,1.712328767,497,388,147,39,12.74358974,9.948717949,3.769230769,41.51748317,1.327380127,,2015,2018,4,0.156164384,42,35,15,4,10.5,8.75,3.75,41.07240604,0.966419039
1886,Annual,1,Lagness,490093,101370,50.80489,-0.722799,Chalk,loam,clay loam,2.009842682,1.43635623,283.7262545,6.021393112,0.006791285,4.147712822,101415.087,321.0655476,119.9974035,,2000,2014,15,0.435616438,2661,153,57,15,177.4,10.2,3.8,0.841109503,0.764213407,,2015,2019,5,0,1826,60,20,5,365.2,12,4,0.800571196,0.683017156
1892,Decadal,42.7,Gamston,470355,376585,53.28157,-0.946242,Triassic Sandstone,loam,clay loam,1.667566939,1.405210355,282.9189496,7.688458873,0.006367052,3.932465861,101172.1917,321.0975566,113.4878621,,1971,2014,44,0.293150685,947,522,176,44,21.52272727,11.86363636,4,11.24406059,0.903879442,,2015,2019,5,0.112328767,60,59,20,5,12,11.8,4,11.39066161,0.171964063
1893,Annual,1,Bowmoor,419100,199350,51.692575,-1.725068,Oolites,sandy loam,sandy loam,1.840359183,1.404376166,283.1652204,7.673734289,0.006546669,3.767893464,100523.3626,321.3531156,116.7099921,,2004,2014,11,0.334246575,109,105,40,11,9.909090909,9.545454545,3.636363636,0.83668699,0.126332974,,2015,2019,5,0.246575342,56,55,20,5,11.2,11,4,0.833136859,0.110663439
